Time,Accelerometer UpLeg(x),Accelerometer UpLeg(y),Accelerometer UpLeg(z),Gyroscope UpLeg(x),Gyroscope UpLeg(y),Gyroscope UpLeg(z),Accelerometer Leg(x),Accelerometer Leg(y),Accelerometer Leg(z),Gyroscope Leg(x),Gyroscope Leg(y),Gyroscope Leg(z),Goniometry UpLeg Angle,Goniometry Leg Angle
349.049,0.07421875,0.1660156,0.9697266,11.75,-6.125,11.34375,0,0,0,0,0,0,102.0116,102.0116
349.0854,-0.01367188,0.05957031,1.063477,22.625,-13.0625,29.84375,0,0,0,0,0,0,102.9979,102.9979
349.119,-0.01367188,0.05957031,1.063477,22.625,-13.0625,29.84375,0,0,0,0,0,0,102.9979,102.9979
349.1501,0.04394531,0.08789063,0.9794922,27.375,-10.9375,13.65625,0,0,0,0,0,0,102.9979,102.9979
349.1855,0.1796875,-0.05273438,1.478516,2.96875,13.71875,-9.34375,0,0,0,0,0,0,104.7048,104.7048
349.2188,0.1796875,-0.05273438,1.478516,2.96875,13.71875,-9.34375,0,0,0,0,0,0,100.0884,100.0884
349.2499,0.1796875,-0.05273438,1.478516,2.96875,13.71875,-9.34375,0,0,0,0,0,0,100.0884,100.0884
349.2878,0.01171875,0.07324219,1.303711,31.28125,47.78125,3.46875,0,0,0,0,0,0,81.88071,81.88071
349.3222,0.01171875,0.07324219,1.303711,31.28125,47.78125,3.46875,0,0,0,0,0,0,81.88071,81.88071
349.3506,-0.05957031,0.4052734,0.9794922,80.96875,-14.46875,4.8125,0,0,0,0,0,0,81.88071,81.88071
349.3842,-0.05957031,0.4052734,0.9794922,80.96875,-14.46875,4.8125,0,0,0,0,0,0,81.88071,81.88071
349.4202,-0.2529297,0.3916016,0.7685547,86.46875,-18.5,2,0,0,0,0,0,0,63.62412,63.6241
349.451,-0.2529297,0.3916016,0.7685547,86.46875,-18.5,2,0,0,0,0,0,0,63.62412,63.6241
349.4845,-0.046875,0.4736328,0.7636719,98.375,-18.9375,-15.9375,0,0,0,0,0,0,65.48023,65.48023
349.5205,-0.046875,0.4736328,0.7636719,98.375,-18.9375,-15.9375,0,0,0,0,0,0,77.81558,77.81558
349.5513,0.1455078,0.7685547,0.6699219,83.59375,7,-17.46875,0,0,0,0,0,0,77.81558,77.81558
349.585,0.1455078,0.7685547,0.6699219,83.59375,7,-17.46875,0,0,0,0,0,0,77.81558,77.81558
349.6201,-0.02441406,0.3574219,0.5566406,93,-23.5,-16.96875,0,0,0,0,0,0,89.10924,89.10924
349.6519,-0.02441406,0.3574219,0.5566406,93,-23.5,-16.96875,0,0,0,0,0,0,89.10924,89.10924
349.6854,-0.02441406,0.3574219,0.5566406,93,-23.5,-16.96875,0,0,0,0,0,0,95.79862,95.79862
349.7215,-0.1103516,0.3125,0.5976563,97.40625,-33.84375,-6.71875,0,0,0,0,0,0,95.79862,95.79862
349.7519,-0.1103516,0.3125,0.5976563,97.40625,-33.84375,-6.71875,0,0,0,0,0,0,95.79862,95.79862
349.7863,0.08984375,0.8769531,0.6611328,29.59375,22.625,-13.625,0,0,0,0,0,0,102.9712,102.9712
349.8218,0.08984375,0.8769531,0.6611328,29.59375,22.625,-13.625,0,0,0,0,0,0,109.1637,109.1637
349.8529,0.08984375,0.8769531,0.6611328,29.59375,22.625,-13.625,0,0,0,0,0,0,109.1637,109.1637
349.8858,-0.1582031,0.7695313,0.4824219,28,21.90625,-19.1875,0,0,0,0,0,0,109.1637,109.1637
349.9229,0.07226563,1.05957,0.06152344,52.65625,4.375,-10.6875,0,0,0,0,0,0,120.411,120.411
349.9533,0.07226563,1.05957,0.06152344,52.65625,4.375,-10.6875,0,0,0,0,0,0,120.411,120.411
349.9869,-0.1914063,0.9365234,0.4326172,24.34375,23.53125,18.65625,0,0,0,0,0,0,130.9364,130.9365
350.0234,-0.1914063,0.9365234,0.4326172,24.34375,23.53125,18.65625,0,0,0,0,0,0,134.4295,134.4295
350.0535,-0.0234375,1.00293,0.2255859,43.5625,-1,-7.40625,0,0,0,0,0,0,134.4295,134.4295
350.088,-0.0234375,1.00293,0.2255859,43.5625,-1,-7.40625,0,0,0,0,0,0,134.4295,134.4295
350.124,-0.2119141,0.8115234,-0.0234375,53.28125,-26.5,9.4375,0,0,0,0,0,0,143.3148,143.3148
350.1537,-0.2119141,0.8115234,-0.0234375,53.28125,-26.5,9.4375,0,0,0,0,0,0,143.3148,143.3148
350.1877,-0.2119141,0.8115234,-0.0234375,53.28125,-26.5,9.4375,0,0,0,0,0,0,151.6506,151.6506
350.2239,-0.1035156,0.9277344,0.2099609,39.59375,1.5625,8.53125,0,0,0,0,0,0,151.6506,151.6506
350.2543,-0.1035156,0.9277344,0.2099609,39.59375,1.5625,8.53125,0,0,0,0,0,0,151.6506,151.6506
350.288,-0.06738281,0.8232422,0.03808594,40.03125,3.03125,-7.46875,0,0,0,0,0,0,158.938,158.938
350.3326,-0.15625,0.8769531,0.001953125,22.375,-8.1875,6.40625,0,0,0,0,0,0,165.5629,165.5629
350.3545,-0.15625,0.8769531,0.001953125,22.375,-8.1875,6.40625,0,0,0,0,0,0,165.5629,165.5629
350.3886,-0.15625,0.8769531,0.001953125,22.375,-8.1875,6.40625,0,0,0,0,0,0,167.479,167.479
350.4244,-0.02050781,1.050781,0.04394531,7.6875,-2.09375,1.4375,0,0,0,0,0,0,167.479,167.479
350.4564,-0.02050781,1.050781,0.04394531,7.6875,-2.09375,1.4375,0,0,0,0,0,0,167.479,167.479
350.4882,-0.03515625,1.092773,-0.1035156,1.21875,1.4375,-3.375,0,0,0,0,0,0,172.5833,172.5833
350.5251,-0.03515625,1.092773,-0.1035156,1.21875,1.4375,-3.375,0,0,0,0,0,0,174.8583,174.8583
350.5561,-0.03515625,1.092773,-0.1035156,1.21875,1.4375,-3.375,0,0,0,0,0,0,174.8583,174.8583
350.59,0.03222656,0.7246094,0.0625,1.75,3.40625,-2.75,0,0,0,0,0,0,174.8583,174.8583
350.6264,-0.009765625,1.072266,0.0703125,-15.9375,20.3125,0.28125,0,0,0,0,0,0,175.6393,175.6393
350.6557,-0.009765625,1.072266,0.0703125,-15.9375,20.3125,0.28125,0,0,0,0,0,0,175.6393,175.6393
350.6898,-0.03808594,1.139648,0.02832031,-33.09375,15.0625,-17.59375,0,0,0,0,0,0,174.4778,174.4778
350.7252,-0.03808594,1.139648,0.02832031,-33.09375,15.0625,-17.59375,0,0,0,0,0,0,171.2071,171.2071
350.758,-0.03808594,1.139648,0.02832031,-33.09375,15.0625,-17.59375,0,0,0,0,0,0,171.2071,171.2071
350.7899,-0.08203125,0.9130859,-0.1064453,-70.9375,39.0625,-14.125,0,0,0,0,0,0,171.2071,171.2071
350.826,-0.08203125,0.9130859,-0.1064453,-70.9375,39.0625,-14.125,0,0,0,0,0,0,162.0473,162.0473
